iter	Passed	Remaining
1171	73117	82849
1172	73181	82789
1173	73251	82735
1174	73317	82677
1175	73380	82615
1176	73440	82550
1177	73498	82483
1178	73548	82407
1179	73602	82334
1180	73661	82268
1181	73738	82222
1182	73810	82170
1183	73869	82104
1184	73929	82039
1185	73982	81967
1186	74031	81889
1187	74094	81828
1188	74147	81755
1189	74204	81686
1190	74280	81640
1191	74356	81592
1192	74399	81509
1193	74455	81440
1194	74512	81371
1195	74579	81313
1196	74646	81256
1197	74697	81182
1198	74772	81133
1199	74836	81072
1200	74905	81017
1201	74959	80946
1202	75012	80873
1203	75064	80800
1204	75118	80729
1205	75180	80666
1206	75240	80601
1207	75299	80535
1208	75364	80475
1209	75419	80406
1210	75500	80363
1211	75577	80317
1212	75644	80258
1213	75705	80195
1214	75765	80130
1215	75813	80053
1216	75880	79995
1217	75954	79945
1218	76017	79884
1219	76081	79823
1220	76124	79740
1221	76189	79681
1222	76266	79634
1223	76330	79572
1224	76374	79491
1225	76439	79432
1226	76492	79360
1227	76554	79297
1228	76618	79236
1229	76688	79182
1230	76752	79122
1231	76811	79056
1232	76875	78995
1233	76933	78928
1234	76998	78868
1235	77050	78795
1236	77107	78728
1237	77164	78660
1238	77225	78596
1239	77281	78528
1240	77330	78452
1241	77386	78383
1242	77445	78318
1243	77512	78260
1244	77581	78205
1245	77630	78128
1246	77680	78054
1247	77746	77995
1248	77813	77937
1249	77870	77870
1250	77936	77811
1251	78003	77754
1252	78074	77700
1253	78147	77649
1254	78221	77598
1255	78290	77542
1256	78339	77467
1257	78392	77395
1258	78442	77320
1259	78497	77251
1260	78564	77194
1261	78625	77130
1262	78689	77069
1263	78763	77019
1264	78825	76955
1265	78890	76895
1266	78941	76823
1267	79011	76768
1268	79080	76712
1269	79133	76641
1270	79196	76579
1271	79244	76503
1272	79310	76444
1273	79365	76375
1274	79424	76309
1275	79478	76239
1276	79529	76166
1277	79582	76095
1278	79646	76034
1279	79715	75979
1280	79782	75921
1281	79846	75860
1282	79916	75804
1283	79978	75742
1284	80024	75665
1285	80098	75613
1286	80162	75553
1287	80231	75496
1288	80289	75430
1289	80338	75356
1290	80399	75292
1291	80442	75212
1292	80513	75158
1293	80575	75096
1294	80635	75031
1295	80686	74959
1296	80729	74878
1297	80796	74820
1298	80834	74736
1299	80897	74674
1300	80964	74616
1301	81031	74559
1302	81092	74495
1303	81148	74427
1304	81219	74373
1305	81279	74309
1306	81330	74236
1307	81394	74176
1308	81451	74108
1309	81506	74040
1310	81572	73981
1311	81637	73921
1312	81701	73861
1313	81768	73803
1314	81834	73744
1315	81903	73688
1316	81980	73638
1317	82052	73586
1318	82137	73543
1319	82211	73492
1320	82254	73412
1321	82322	73355
1322	82365	73276
1323	82431	73217
1324	82500	73160
1325	82551	73088
1326	82608	73021
1327	82672	72960
1328	82718	72884
1329	82781	72822
1330	82824	72743
1331	82893	72687
1332	82951	72621
1333	83008	72554
1334	83059	72482
1335	83128	72426
1336	83186	72360
1337	83265	72312
1338	83342	72263
1339	83415	72210
1340	83468	72140
1341	83537	72083
1342	83612	72032
1343	83674	71969
1344	83727	71899
1345	83781	71830
1346	83830	71757
1347	83892	71694
1348	83948	71627
1349	84000	71555
1350	84060	71491
1351	84129	71435
1352	84183	71366
1353	84233	71294
1354	84293	71229
1355	84353	71165
1356	84419	71106
1357	84470	71034
1358	84525	70966
1359	84597	70912
1360	84639	70833
1361	84702	70771
1362	84751	70699
1363	84811	70634
1364	84857	70559
1365	84911	70490
1366	84980	70433
1367	85035	70366
1368	85097	70303
1369	85153	70236
1370	85215	70173
1371	85272	70107
1372	85337	70047
1373	85395	69981
1374	85460	69922
1375	85502	69843
1376	85563	69780
1377	85643	69732
1378	85691	69659
1379	85748	69592
1380	85793	69516
1381	85835	69438
1382	85897	69376
1383	85941	69299
1384	86001	69235
1385	86055	69167
1386	86114	69102
1387	86171	69036
1388	86232	68973
1389	86284	68903
1390	86346	68841
1391	86396	68769
1392	86463	68711
1393	86520	68645
1394	86573	68576
1395	86620	68502
1396	86676	68435
1397	86755	68386
1398	86821	68327
1399	86890	68270
1400	86952	68209
1401	87010	68143
1402	87080	68087
1403	87141	68025
1404	87203	67962
1405	87272	67905
1406	87339	67847
1407	87393	67779
1408	87437	67703
1409	87521	67658
1410	87583	67596
1411	87637	67527
1412	87700	67466
1413	87761	67403
1414	87818	67337
1415	87870	67268
1416	87955	67223
1417	88008	67154
1418	88084	67103
1419	88151	67044
1420	88222	66989
1421	88272	66918
1422	88324	66848
1423	88377	66779
1424	88442	66719
1425	88508	66660
1426	88569	66598
1427	88639	66541
1428	88695	66475
1429	88752	66409
1430	88797	66334
1431	88859	66272
1432	88927	66215
1433	88970	66138
1434	89031	66075
1435	89099	66018
1436	89144	65943
1437	89207	65881
1438	89268	65819
1439	89338	65763
1440	89397	65699
1441	89461	65638
1442	89516	65570
1443	89576	65507
1444	89640	65446
1445	89708	65389
1446	89775	65330
1447	89828	65262
1448	89882	65193
1449	89941	65130
1450	90011	65073
1451	90073	65011
1452	90142	64954
1453	90208	64895
1454	90265	64829
1455	90319	64762
1456	90379	64698
1457	90428	64627
1458	90485	64561
1459	90545	64498
1460	90599	64430
1461	90659	64367
1462	90721	64305
1463	90772	64235
1464	90828	64168
1465	90886	64104
1466	90951	64044
1467	90993	63968
1468	91053	63904
1469	91107	63837
1470	91172	63777
1471	91221	63706
1472	91296	63653
1473	91356	63589
1474	91425	63532
